timestamp,datetime,open,high,low,close,volume,created_at
1765267500000,2025-12-09 08:05:00,190.15,190.36,189.92,190.05,3433.7,2025-12-09 08:05:00
1765267800000,2025-12-09 08:10:00,190.06,190.11,189.77,189.96,1642.8,2025-12-09 08:10:00
1765268100000,2025-12-09 08:15:00,189.96,190.33,189.96,190.26,7412.7,2025-12-09 08:15:00
1765268400000,2025-12-09 08:20:00,190.26,190.26,189.53,189.56,3381.4,2025-12-09 08:20:00
1765268700000,2025-12-09 08:25:00,189.57,189.66,189.31,189.31,5209.5,2025-12-09 08:25:00
1765269000000,2025-12-09 08:30:00,189.31,189.41,188.94,189.36,5395.9,2025-12-09 08:30:00
1765269300000,2025-12-09 08:35:00,189.35,189.5,189.09,189.33,3184.8,2025-12-09 08:35:00
1765269600000,2025-12-09 08:40:00,189.33,189.56,189.29,189.56,2797.3,2025-12-09 08:40:00
1765269900000,2025-12-09 08:45:00,189.57,189.86,189.39,189.39,5262.2,2025-12-09 08:45:00
1765270200000,2025-12-09 08:50:00,189.4,189.6,189.4,189.55,3884.9,2025-12-09 08:50:00
1765270500000,2025-12-09 08:55:00,189.55,189.64,189.41,189.46,631.7,2025-12-09 08:55:00
1765270800000,2025-12-09 09:00:00,189.46,189.46,189.09,189.13,5862.5,2025-12-09 09:00:00
1765271100000,2025-12-09 09:05:00,189.13,189.25,188.93,189.23,3997.3,2025-12-09 09:05:00
1765271400000,2025-12-09 09:10:00,189.23,189.27,189.0,189.23,3673.5,2025-12-09 09:10:00
1765271700000,2025-12-09 09:15:00,189.23,189.37,189.09,189.09,2687.6,2025-12-09 09:15:00
1765272000000,2025-12-09 09:20:00,189.1,189.28,188.96,189.28,9014.6,2025-12-09 09:20:00
1765272300000,2025-12-09 09:25:00,189.29,189.32,188.96,189.08,4245.7,2025-12-09 09:25:00
1765272600000,2025-12-09 09:30:00,189.08,189.19,189.01,189.03,5411.8,2025-12-09 09:30:00
1765272900000,2025-12-09 09:35:00,189.03,189.04,188.66,188.66,7405.5,2025-12-09 09:35:00
1765273200000,2025-12-09 09:40:00,188.66,188.69,188.1,188.1,5157.8,2025-12-09 09:40:00
1765273500000,2025-12-09 09:45:00,188.1,188.25,187.88,188.18,4190.6,2025-12-09 09:45:00
1765273800000,2025-12-09 09:50:00,188.19,188.36,188.17,188.24,4021.9,2025-12-09 09:50:00
1765274100000,2025-12-09 09:55:00,188.25,188.26,188.07,188.07,1012.3,2025-12-09 09:55:00
1765274400000,2025-12-09 10:00:00,188.08,188.57,187.86,188.52,4639.7,2025-12-09 10:00:00
1765274700000,2025-12-09 10:05:00,188.53,188.54,187.84,187.84,4560.1,2025-12-09 10:05:00
1765275000000,2025-12-09 10:10:00,187.85,188.6,187.85,188.37,6518.4,2025-12-09 10:10:00
1765275300000,2025-12-09 10:15:00,188.37,188.5,188.19,188.32,2547.3,2025-12-09 10:15:00
1765275600000,2025-12-09 10:20:00,188.33,188.38,188.17,188.29,2467.1,2025-12-09 10:20:00
1765275900000,2025-12-09 10:25:00,188.29,188.52,188.19,188.42,888.2,2025-12-09 10:25:00
1765276200000,2025-12-09 10:30:00,188.42,188.65,188.27,188.46,3964.3,2025-12-09 10:30:00
1765276500000,2025-12-09 10:35:00,188.45,188.56,187.18,187.36,21851.1,2025-12-09 10:35:00
1765276800000,2025-12-09 10:40:00,187.34,188.02,187.13,187.9,9417.3,2025-12-09 10:40:00
1765277100000,2025-12-09 10:45:00,187.89,188.06,187.62,187.86,5590.9,2025-12-09 10:45:00
1765277400000,2025-12-09 10:50:00,187.86,188.15,187.86,187.95,7139.5,2025-12-09 10:50:00
1765277700000,2025-12-09 10:55:00,187.95,188.06,187.71,188.01,4792.9,2025-12-09 10:55:00
1765278000000,2025-12-09 11:00:00,188.01,188.21,187.88,188.13,2629.0,2025-12-09 11:00:00
1765278300000,2025-12-09 11:05:00,188.13,188.2,187.98,188.05,1614.0,2025-12-09 11:05:00
1765278600000,2025-12-09 11:10:00,188.04,188.05,187.89,188.02,2025.3,2025-12-09 11:10:00
1765278900000,2025-12-09 11:15:00,188.02,188.06,187.7,187.76,1991.3,2025-12-09 11:15:00
